activity1,activity2,corr,communities,cluster1,cluster2
"Community-based child protection, including psychosocial support and parenting programmes - CP2",hk_ben,0.4,40,Protection,WASH
pwd_beneficiaries,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.4,22,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,Bread/Flour distribution,0.399,97,Nutrition,FSL
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.399,88,Nutrition,Education
hp_pwd_ben,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.399,27,WASH,Education
beneficiaries_toilets,1.1.1.1: Provision of core NFIs,0.399,25,WASH,SNFI
"Community-based child protection, including psychosocial support and parenting programmes - CP2","2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.399,23,Protection,Education
hk_ben,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.398,44,WASH,Education
Free Bread Distribution,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.398,33,FSL,Education
Risk education - MA1,beneficiaries_toilets,0.398,32,Protection,WASH
Risk education - MA1,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.398,31,Protection,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,1.9   Provide children with school water trucking,0.397,98,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.397,63,Nutrition,Education
# of children 6-59 months reached with HEB for 2 weeks,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.397,53,Nutrition,Education
Case management and Referrals - GP5,1.2.1.2: Installation of new/ replacement of existing tents,0.397,28,Protection,SNFI
Psychosocial support (PSS) - GP4,cholera_hp_rcce_iec,0.397,27,Protection,WASH
Free Bread Distribution,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.397,25,FSL,Education
New people reached with GBV services  - GBV100,Ready to Eat Ration,0.395,35,Protection,FSL
beneficiaries_toilets,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.395,21,WASH,Education
# of children 6-59 months reached with HEB for 2 weeks,1.02.1 Support the provision of formal education to children and youth,0.394,91,Nutrition,Education
Psychosocial support (PSS) - GP4,# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,0.394,60,Protection,Nutrition
Bread/Flour distribution,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.393,69,FSL,Education
Case management and Referrals - GP5,water_trucking,0.393,67,Protection,WASH
beneficiaries_toilets,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.393,35,WASH,Education
1.1.1.1: Provision of core NFIs,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.393,23,SNFI,Education
Psychosocial support (PSS) - GP4,# of mother to mother support groups established in line with the IYCF-E guidelines,0.393,21,Protection,Nutrition
Case management and Referrals - GP5,beneficiaries_toilets,0.392,39,Protection,WASH
Case management and Referrals - GP5,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.392,30,Protection,Education
sew_rehab_repair,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.392,27,WASH,Education
# PLWs screened for malnutrition,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.391,91,Nutrition,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,des_beneficiaries,0.391,76,Nutrition,WASH
# of children 6-59 months reached with HEB for 2 weeks,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.391,57,Nutrition,Education
Case management and Referrals - GP5,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.391,45,Protection,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months","1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.391,38,Nutrition,Education
swm_support_benf,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.39,63,WASH,Education
des_beneficiaries,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.39,35,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.39,27,Protection,Education
sew_rehab_repair,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.39,25,WASH,Education
Bread/Flour distribution,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.389,50,FSL,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,1.02.1 Support the provision of formal education to children and youth,0.388,100,Nutrition,Education
hk_ben,Ready to Eat Ration,0.388,65,WASH,FSL
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.388,49,Nutrition,Education
